id;person1_id;person2_id;marriage;separation;local;created_at;updated_at
235;79;731;;;;2023-05-15 01:37:02 UTC;2023-05-15 01:37:02 UTC
236;399;734;2019-12-14;;;2023-05-15 01:37:02 UTC;2023-05-15 01:37:02 UTC
237;717;735;;;;2023-05-15 01:37:02 UTC;2023-05-15 01:37:02 UTC
238;719;736;;;;2023-05-15 01:37:02 UTC;2023-05-15 01:37:02 UTC
239;26;740;;;;2023-05-15 01:37:02 UTC;2023-05-15 01:37:02 UTC
240;36;742;;;;2023-05-15 01:37:02 UTC;2023-05-15 01:37:02 UTC
241;626;744;;;;2023-05-15 01:37:02 UTC;2023-05-15 01:37:02 UTC
242;44;746;;;;2023-05-15 01:37:02 UTC;2023-05-15 01:37:02 UTC
243;750;751;;;;2023-05-15 01:37:02 UTC;2023-05-15 01:37:02 UTC
244;752;753;;;;2023-05-15 01:37:02 UTC;2023-05-15 01:37:02 UTC
245;754;755;;;;2023-05-15 01:37:02 UTC;2023-05-15 01:37:02 UTC
246;403;756;;;;2023-05-15 01:37:02 UTC;2023-05-15 01:37:02 UTC
247;757;758;;;;2023-05-15 01:37:02 UTC;2023-05-15 01:37:02 UTC
248;761;762;;;;2023-05-15 01:37:02 UTC;2023-05-15 01:37:02 UTC
249;763;764;;;;2023-05-15 01:37:02 UTC;2023-05-15 01:37:02 UTC
250;770;771;;;;2023-05-15 01:37:02 UTC;2023-05-15 01:37:02 UTC
251;772;773;;;;2023-05-15 01:37:02 UTC;2023-05-15 01:37:02 UTC
252;774;775;;;;2023-05-15 01:37:02 UTC;2023-05-15 01:37:02 UTC
253;776;778;;;;2023-05-15 01:37:02 UTC;2023-05-15 01:37:02 UTC
254;780;781;;;;2023-05-15 01:37:02 UTC;2023-05-15 01:37:02 UTC
255;785;786;;;;2023-05-15 01:37:02 UTC;2023-05-15 01:37:02 UTC
256;791;792;;;;2023-05-15 01:37:02 UTC;2023-05-15 01:37:02 UTC
257;794;795;;;;2023-05-15 01:37:02 UTC;2023-05-15 01:37:02 UTC
258;799;800;;;;2023-05-15 01:37:03 UTC;2023-05-15 01:37:03 UTC
259;796;801;;;;2023-05-15 01:37:03 UTC;2023-05-15 01:37:03 UTC
260;808;809;;;;2023-05-15 01:37:03 UTC;2023-05-15 01:37:03 UTC
261;807;810;;;;2023-05-15 01:37:03 UTC;2023-05-15 01:37:03 UTC
262;812;813;;;;2023-05-15 01:37:03 UTC;2023-05-15 01:37:03 UTC
263;822;825;;;;2023-05-15 01:37:03 UTC;2023-05-15 01:37:03 UTC
264;769;826;;;;2023-05-15 01:37:03 UTC;2023-05-15 01:37:03 UTC
265;175;820;;;;2023-05-15 01:37:03 UTC;2023-05-15 01:37:03 UTC
266;748;749;;;;2023-05-15 01:37:03 UTC;2023-05-15 01:37:03 UTC
267;827;828;;;;2023-05-15 01:37:03 UTC;2023-05-15 01:37:03 UTC
268;822;829;;;;2023-05-15 01:37:03 UTC;2023-05-15 01:37:03 UTC
269;830;831;;;;2023-05-15 01:37:03 UTC;2023-05-15 01:37:03 UTC
270;833;834;;;;2023-05-15 01:37:03 UTC;2023-05-15 01:37:03 UTC
271;835;836;;;;2023-05-15 01:37:03 UTC;2023-05-15 01:37:03 UTC
272;849;850;;;;2023-05-15 01:37:03 UTC;2023-05-15 01:37:03 UTC
273;855;860;1958-03-29;;;2023-05-15 01:37:03 UTC;2023-05-15 01:37:03 UTC
274;858;859;;;;2023-05-15 01:37:03 UTC;2023-05-15 01:37:03 UTC
275;861;862;;;;2023-05-15 01:37:03 UTC;2023-05-15 01:37:03 UTC
276;34;863;;;;2023-05-15 01:37:03 UTC;2023-05-15 01:37:03 UTC
277;870;871;;;;2023-05-15 01:37:03 UTC;2023-05-15 01:37:03 UTC
278;872;873;;;;2023-05-15 01:37:03 UTC;2023-05-15 01:37:03 UTC
279;880;881;;;;2023-05-15 01:37:03 UTC;2023-05-15 01:37:03 UTC
280;882;885;1947-02-08;;Uraí/PR;2023-05-15 01:37:03 UTC;2023-05-15 01:37:03 UTC
281;886;887;;;;2023-05-15 01:37:03 UTC;2023-05-15 01:37:03 UTC
282;889;890;;;;2023-05-15 01:37:03 UTC;2023-05-15 01:37:03 UTC
283;891;892;1880-01-01;;Aichi. Dia e mes desconhecidos;2023-05-15 01:37:03 UTC;2023-05-15 01:37:03 UTC
284;893;894;;;;2023-05-15 01:37:03 UTC;2023-05-15 01:37:03 UTC
285;890;895;;;;2023-05-15 01:37:04 UTC;2023-05-15 01:37:04 UTC
286;888;901;1949-02-12;;Uraí/PR;2023-05-15 01:37:04 UTC;2023-05-15 01:37:04 UTC
287;900;902;;;;2023-05-15 01:37:04 UTC;2023-05-15 01:37:04 UTC
288;904;905;;;;2023-05-15 01:37:04 UTC;2023-05-15 01:37:04 UTC
289;906;907;;;;2023-05-15 01:37:04 UTC;2023-05-15 01:37:04 UTC
290;912;913;;;;2023-05-15 01:37:04 UTC;2023-05-15 01:37:04 UTC
291;916;917;;;;2023-05-15 01:37:04 UTC;2023-05-15 01:37:04 UTC
292;919;920;;;;2023-05-15 01:37:04 UTC;2023-05-15 01:37:04 UTC
293;921;922;;;;2023-05-15 01:37:04 UTC;2023-05-15 01:37:04 UTC
294;923;937;;;;2023-05-15 01:37:04 UTC;2023-05-15 01:37:04 UTC
295;926;927;;;;2023-05-15 01:37:04 UTC;2023-05-15 01:37:04 UTC
296;925;928;;;;2023-05-15 01:37:04 UTC;2023-05-15 01:37:04 UTC
